会社名,銘柄コード,業種,優先市場,決算月,会計基準,都道府県,時価総額,PBR,売上高,営業利益,営業利益率,当期純利益,純利益率,ROE,自己資本比率,PER(会予),負債,流動負債,流動資産,総負債,現金及び現金同等物,投資有価証券,ネットキャッシュ,ネットキャッシュ比率
アーキテクツ・スタジオ・ジャパン,6085,サービス業,グロース（内国株式）,2025-03-31,,Tokyo,3132428544,27.91982,897496000.0,-96615000.0,-0.18981001,-79904000.0,-0.088070005,-0.54915,0.04535616780918806,,1896149000.0,575656000.0,630582000.0,1338209000.0,211375000.0,,-1126834000.0,-0.359731749398846
シンメンテホールディングス,6086,サービス業,グロース（内国株式）,2025-02-28,,Tokyo,23460014080,6.5502872,25707509000.0,1534311000.0,0.06613,1033141000.0,0.04152,0.30894,0.3917846043447478,11.936568,5514349000.0,4776463000.0,7731416000.0,392848000.0,4140204000.0,343512000.0,3747356000.0,0.15973374897480028
アビスト,6087,サービス業,スタンダード（内国株式）,2024-09-30,,Mitaka,12833400832,1.869239,10002339000.0,903483000.0,0.07462,611042000.0,0.05628,0.08461001,0.7312426995703081,19.150831,2521062000.0,1709419000.0,6138575000.0,50000000.0,4488541000.0,738504000.0,4438541000.0,0.3458585185722967
シグマクシス・ホールディングス,6088,サービス業,プライム（内国株式）,2025-03-31,,Tokyo,76381167616,5.553325,26293590000.0,5638919000.0,0.25885,4394662000.0,0.0,,0.7229704627414348,7.6254907,5468793000.0,4781485000.0,14073977000.0,16262000.0,6945511000.0,3024643000.0,6929249000.0,0.0907193385002469
ウィルグループ,6089,サービス業,プライム（内国株式）,2025-03-31,,Tokyo,23478687744,1.396296,139705000000.0,2339000000.0,0.01122,1155000000.0,0.00977,0.078779995,0.348376499809707,,32563000000.0,25208000000.0,26551000000.0,6605000000.0,6936000000.0,2160000000.0,331000000.0,0.014097891824665002
ヒューマン・メタボローム・テクノロジーズ,6090,サービス業,スタンダード（内国株式）,2024-06-30,,Tsuruoka,4297375232,2.2595463,1345671000.0,220168000.0,-0.55026,243248000.0,0.17594999,0.13292,0.7477568764857968,22.330383,656690000.0,632757000.0,2095627000.0,226303000.0,1788506000.0,7000000.0,1562203000.0,0.36352492292672106
ウエスコホールディングス,6091,サービス業,スタンダード（内国株式）,2024-07-31,,Okayama,12138140672,0.7480996,15725320000.0,942252000.0,0.01313,768062000.0,0.04803,0.04773,0.779261425491288,,4582471000.0,4146458000.0,13454657000.0,90390000.0,9135177000.0,2197692000.0,9044787000.0,0.7451542410333337
エンバイオ・ホールディングス,6092,サービス業,スタンダード（内国株式）,2025-03-31,,Tokyo,4860065792,0.5312711,10668079000.0,839455000.0,0.0484,452689000.0,0.01095,0.00857,0.43129400425796366,,11964584000.0,4818328000.0,8957765000.0,10098880000.0,3293050000.0,836741000.0,-6805830000.0,-1.4003575859410917
エスクロー・エージェント・ジャパン,6093,サービス業,スタンダード（内国株式）,2025-02-28,,Tokyo,5890270720,1.7924954,4741362000.0,482405000.0,0.027780002,349113000.0,0.04153,0.05915,0.7468997457208667,12.857142,1205087000.0,1023419000.0,3609028000.0,123047000.0,2993868000.0,57905000.0,2870821000.0,0.48738354083664254
フリークアウト・ホールディングス,6094,サービス業,グロース（内国株式）,2024-09-30,,Tokyo,9053162496,0.8704966,51711413000.0,1658000.0,-0.01082,-3190273000.0,-0.013940001,-0.05171,0.3169763805122616,11.681615,24665392000.0,16997755000.0,31252343000.0,15102621000.0,19821084000.0,3607180000.0,4718463000.0,0.5211949970062705
メドピア,6095,サービス業,プライム（内国株式）,2024-09-30,,Tokyo,15080125440,1.5387583,14948380000.0,1291460000.0,0.04151,1481764000.0,0.11837,0.16350001,0.6076187847072706,18.630873,6103387000.0,2563680000.0,10358728000.0,3160048000.0,7280009000.0,128122000.0,4119961000.0,0.2732046902654942
レアジョブ,6096,サービス業,スタンダード（内国株式）,2025-03-31,,Tokyo,3440196096,1.8555539,9715742000.0,442193000.0,0.0047,268908000.0,0.020480001,0.10877,0.3278891819684764,28.503937,3959707000.0,2440109000.0,3444468000.0,2100389000.0,2552993000.0,2524000.0,452604000.0,0.13156343050509642
リクルートホールディングス,6098,サービス業,プライム（内国株式）,2025-03-31,,Tokyo,11378755633152,8.155634,3557478000000.0,490543000000.0,0.17493,408504000000.0,0.11967,0.23843001,0.5834902454755195,26.289528,1144893000000.0,802185000000.0,1470378000000.0,208940000000.0,808625000000.0,163102000000.0,599685000000.0,0.05270216000182111
